pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
2jw6,PF01753,zf-MYND,TRASH,MYND finger,"IPR024119,IPR002893","Transcription factor DEAF-1,Zinc finger\, MYND-type","3.30.60.180,6.10.140.2220",Alpha Beta,2-Layer Sandwich,Wheat Germ Agglutinin (Isolectin 2); domain 1,Wheat Germ Agglutinin (Isolectin 2); domain 1,,,,,,,,,Small proteins,HIT/MYND zinc finger-like,HIT/MYND zinc finger-like,MYND zinc finger,"O75398,O75398-5,O75398-4,O75398-3","DEAF1_HUMAN,DEAF1_HUMAN,DEAF1_HUMAN,DEAF1_HUMAN",0.09,,,7.25,-1.0,,,,1
2m5q,PF00123,Hormone_2,,Peptide hormone,IPR000532,Glucagon/GIP/secretin/VIP,,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,,,,,P01275,GLUC_HUMAN,0.18,19071,,0.68,-1.0,,,,1
1fo7,,,,,"IPR022416,IPR000817,IPR036924","Prion/Doppel protein\, beta-ribbon domain,Prion protein,Prion/Doppel beta-ribbon domain superfamily",1.10.790.10,Mainly Alpha,Orthogonal Bundle,Major Prion Protein,"Prion/Doppel protein\, beta-ribbon domain",,,,,"GO:0051260,GO:0016020",protein homooligomerization,,membrane,Alpha and beta proteins (a+b),Prion-like,Prion-like,Prion-like,P04156,PRIO_HUMAN,0.61,,,7.78,-1.0,,,,1
2mkv,PF02038,ATP1G1_PLM_MAT8,,ATP1G1/PLM/MAT8 family,IPR000272,"Ion-transport regulator\, FXYD motif",1.20.5.780,Mainly Alpha,Up-down Bundle,Single alpha-helices involved in coiled-coils or other helix-helix interfaces,Single helix bin,,,,,"GO:0043269,GO:0099106,GO:0016020",regulation of ion transport,ion channel regulator activity,membrane,,,,,"P54710,P54710-2","ATNG_HUMAN,ATNG_HUMAN",0.88,19797,,35.75,-1.0,,,,1
5huz,,,,,IPR031775,"cGMP-dependent protein kinase\, interacting domain",,,,,,,,,,GO:0019901,,protein kinase binding,,,,,,"O14974,O14974-4,O14974-2,O14974-5,O14974-3","MYPT1_HUMAN,MYPT1_HUMAN,MYPT1_HUMAN,MYPT1_HUMAN,MYPT1_HUMAN",0.05,30005,,8.93,-1.0,,,,1
2d99,PF02946,GTF2I,,GTF2I-like repeat,"IPR004212,IPR036647","GTF2I-like repeat,GTF2I-like repeat superfamily",3.90.1460.10,Alpha Beta,Alpha-Beta Complex,GTF2I-like repeat,GTF2I-like,,,,,,,,,,,,,"Q9UHL9,Q9UHL9-3,Q9UHL9-2","GT2D1_HUMAN,GT2D1_HUMAN,GT2D1_HUMAN",0.08,,,5.4,-1.0,,,,1
1vfc,PF00249,Myb_DNA-binding,HTH,Myb-like DNA-binding domain,"IPR001005,IPR030657,IPR009057","SANT/Myb domain,Telomeric repeat-binding factor 2,Homeobox-like domain superfamily",1.10.10.60,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Homeodomain-like,,,,,"GO:0031848,GO:0000723,GO:0003677,GO:0042162,GO:0005634,GO:0000784","protection from non-homologous end joining at telomere,telomere maintenance","DNA binding,telomeric DNA binding","nucleus,nuclear chromosome\, telomeric region",All alpha proteins,DNA/RNA-binding 3-helical bundle,Homeodomain-like,DNA-binding domain of telomeric protein,Q15554,TERF2_HUMAN,0.12,,,4.11,-1.0,,,,3
1hjn,,,,,"IPR022416,IPR000817,IPR036924","Prion/Doppel protein\, beta-ribbon domain,Prion protein,Prion/Doppel beta-ribbon domain superfamily",1.10.790.10,Mainly Alpha,Orthogonal Bundle,Major Prion Protein,"Prion/Doppel protein\, beta-ribbon domain",,,,,"GO:0051260,GO:0016020",protein homooligomerization,,membrane,Alpha and beta proteins (a+b),Prion-like,Prion-like,Prion-like,P04156,PRIO_HUMAN,0.45,,,9.09,-1.0,,,,1
2mwf,,,,,"IPR001202,IPR036020","WW domain,WW domain superfamily",,,,,,,,,,,,,,,,,,"O14776,O14776-2","TCRG1_HUMAN,TCRG1_HUMAN",0.03,25315,,23.43,-1.0,,,,1
2khn,PF12763,EF-hand_4,EF_hand,Cytoskeletal-regulatory complex EF hand,"IPR000261,IPR011992","EH domain,EF-hand domain pair",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,GO:0005509,,calcium ion binding,,,,,,"Q15811,Q15811-13,Q15811-4,Q15811-6,Q15811-9,Q15811-11,Q15811-2,Q15811-12,Q15811-3,Q15811-8,Q15811-10,Q15811-7,Q15811-5","ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN,ITSN1_HUMAN",0.06,16250,,23.12,-1.0,,,,1
1cyv,PF00031,Cystatin,Cystatin,Cystatin domain,"IPR000010,IPR001713","Cystatin domain,Proteinase inhibitor I25A\, stefin",3.10.450.10,Alpha Beta,Roll,"Nuclear Transport Factor 2; Chain: A\,","Nuclear Transport Factor 2; Chain: A\,",,,,,"GO:0098609,GO:0030216,GO:0045861,GO:0070268,GO:0007155,GO:0010466,GO:0010951,GO:0018149,GO:0030414,GO:0004869,GO:0005515,GO:0002020,GO:0004866,GO:0005654,GO:0001533,GO:0005615,GO:0005737,GO:0005829","cell-cell adhesion,keratinocyte differentiation,negative regulation of proteolysis,cornification,cell adhesion,negative regulation of peptidase activity,negative regulation of endopeptidase activity,peptide cross-linking","peptidase inhibitor activity,cysteine-type endopeptidase inhibitor activity,protein binding,protease binding,endopeptidase inhibitor activity","nucleoplasm,cornified envelope,extracellular space,cytoplasm,cytosol",Alpha and beta proteins (a+b),Cystatin-like,Cystatin/monellin,Cystatins,P01040,CYTA_HUMAN,1.0,,,0.46,-1.0,,,,1
5olf,,,,,,,,,,,,,,,,,,,,,,,,,,,34166,,5.37,-1.0,,,,1
1q8x,PF00241,Cofilin_ADF,ADF,Cofilin/tropomyosin-type actin-binding protein,"IPR017904,IPR029006,IPR002108,IPR027234","ADF/Cofilin,ADF-H/Gelsolin-like domain superfamily,Actin-depolymerising factor homology domain,Cofilin 1",3.40.20.10,Alpha Beta,3-Layer(aba) Sandwich,Severin,Severin,,,,,"GO:0001842,GO:0030036,GO:0000281,GO:0022604,GO:0030836,GO:0043200,GO:0061001,GO:0007010,GO:0007266,GO:0043066,GO:0009615,GO:0007015,GO:0001755,GO:0030010,GO:0030042,GO:0044794,GO:0035722,GO:0030043,GO:0006468,GO:0005515,GO:0051015,GO:0003779,GO:0005102,GO:0005911,GO:0005634,GO:0015629,GO:0016020,GO:0031982,GO:0070062,GO:0005925,GO:0005615,GO:0030027,GO:0031258,GO:0005737,GO:0005856,GO:0042995,GO:0032587,GO:0005886,GO:0005829,GO:0030864,GO:0016363","neural fold formation,actin cytoskeleton organization,mitotic cytokinesis,regulation of cell morphogenesis,positive regulation of actin filament depolymerization,response to amino acid,regulation of dendritic spine morphogenesis,cytoskeleton organization,Rho protein signal transduction,negative regulation of apoptotic process,response to virus,actin filament organization,neural crest cell migration,establishment of cell polarity,actin filament depolymerization,positive regulation by host of viral process,interleukin-12-mediated signaling pathway,actin filament fragmentation,protein phosphorylation","protein binding,actin filament binding,actin binding,signaling receptor binding","cell-cell junction,nucleus,actin cytoskeleton,membrane,vesicle,extracellular exosome,focal adhesion,extracellular space,lamellipodium,lamellipodium membrane,cytoplasm,cytoskeleton,cell projection,ruffle membrane,plasma membrane,cytosol,cortical actin cytoskeleton,nuclear matrix",Alpha and beta proteins (a+b),Gelsolin-like,Actin depolymerizing proteins,Cofilin-like,P23528,COF1_HUMAN,1.0,,,2.78,-1.0,,,,1
1c9a,,,,,IPR000874,Bombesin/neuromedin-B/ranatensin peptide family,,,,,,,,,,GO:0007218,neuropeptide signaling pathway,,,Peptides,Peptide hormones,Peptide hormones,Peptide hormones,"P08949,P08949-2","NMB_HUMAN,NMB_HUMAN",0.1,,,0.0,-1.0,,,,1
2mdf,,,,,"IPR001970,IPR018422,IPR006153","Na+/H+ exchanger\, isoform 1 (NHE1),Cation/H+ exchanger\, CPA1 family,Cation/H+ exchanger",6.10.140.1330,,,,,,,,,"GO:0055085,GO:0006814,GO:0006812,GO:0006885,GO:0015299,GO:0015385,GO:0016021","transmembrane transport,sodium ion transport,cation transport,regulation of pH","solute:proton antiporter activity,sodium:proton antiporter activity",integral component of membrane,,,,,"P19634,P19634-2","SL9A1_HUMAN,SL9A1_HUMAN",0.06,19484,,1.65,-1.0,,,,1
2m3m,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR001478","PDZ superfamily,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,,,,,,,,,"Q12959,Q12959-8,Q12959-9,Q12959-5,Q12959-6,Q12959-7,Q12959-2,Q12959-3,Q12959-4","DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN",0.1,17942,,26.69,-1.0,,,,1
5ggm,PF13499,EF-hand_7,EF_hand,EF-hand domain pair,"IPR011992,IPR002048,IPR039030","EF-hand domain pair,EF-hand domain,Calmodulin",,,,,,,,,,"GO:0022400,GO:0002576,GO:0019722,GO:0005513,GO:0032516,GO:0060314,GO:0005980,GO:0010880,GO:0035307,GO:0051343,GO:0002027,GO:0031954,GO:0060315,GO:1901844,GO:0010800,GO:0007186,GO:0032465,GO:0007223,GO:0010881,GO:0021762,GO:0050999,GO:0060316,GO:0016032,GO:0000226,GO:0000165,GO:0071902,GO:0051186,GO:0006936,GO:0051592,GO:0038095,GO:0055117,GO:0010801,GO:0043647,GO:0019904,GO:0072542,GO:0005509,GO:0005515,GO:0031432,GO:0030234,GO:0046872,GO:0097718,GO:0043539,GO:0044325,GO:0008179,GO:0019855,GO:0031997,GO:0010856,GO:0019901,GO:0005634,GO:0000922,GO:0005654,GO:0005876,GO:0005813,GO:0031982,GO:0030017,GO:0032991,GO:0005815,GO:0005623,GO:0005737,GO:0005819,GO:0005856,GO:0005576,GO:0005886,GO:0005829,GO:1902494,GO:0034704","regulation of rhodopsin mediated signaling pathway,platelet degranulation,calcium-mediated signaling,detection of calcium ion,positive regulation of phosphoprotein phosphatase activity,regulation of ryanodine-sensitive calcium-release channel activity,glycogen catabolic process,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,positive regulation of protein dephosphorylation,positive regulation of cyclic-nucleotide phosphodiesterase activity,regulation of heart rate,positive regulation of protein autophosphorylation,negative regulation of ryanodine-sensitive calcium-release channel activity,regulation of cell communication by electrical coupling involved in cardiac conduction,positive regulation of peptidyl-threonine phosphorylation,G protein-coupled receptor signaling pathway,regulation of cytokinesis,Wnt signaling pathway\, calcium modulating pathway,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,substantia nigra development,regulation of nitric-oxide synthase activity,positive regulation of ryanodine-sensitive calcium-release channel activity,viral process,microtubule cytoskeleton organization,MAPK cascade,positive regulation of protein serine/threonine kinase activity,cofactor metabolic process,muscle contraction,response to calcium ion,Fc-epsilon receptor signaling pathway,regulation of cardiac muscle contraction,negative regulation of peptidyl-threonine phosphorylation,inositol phosphate metabolic process","protein domain specific binding,protein phosphatase activator activity,calcium ion binding,protein binding,titin binding,enzyme regulator activity,metal ion binding,disordered domain specific binding,protein serine/threonine kinase activator activity,ion channel binding,adenylate cyclase binding,calcium channel inhibitor activity,N-terminal myristoylation domain binding,adenylate cyclase activator activity,protein kinase binding","nucleus,spindle pole,nucleoplasm,spindle microtubule,centrosome,vesicle,sarcomere,protein-containing complex,microtubule organizing center,cell,cytoplasm,spindle,cytoskeleton,extracellular region,plasma membrane,cytosol,catalytic complex,calcium channel complex",,,,,P0DP23,CALM1_HUMAN,0.99,36005,,8.38,-1.0,,,,1
2ls4,,,,,IPR007274,Ctr copper transporter,,,,,,,,,,"GO:0035434,GO:0005375,GO:0016021",copper ion transmembrane transport,copper ion transmembrane transporter activity,integral component of membrane,,,,,O15431,COPT1_HUMAN,0.13,18410,,76.47,-1.0,,,,1
5kiz,PF08447,PAS_3,PAS_Fold,PAS fold,"IPR035965,IPR013655,IPR000014,IPR001610","PAS domain superfamily,PAS fold-3,PAS domain,PAC motif","3.30.450.20,3.30.450.20","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Beta-Lactamase,Beta-Lactamase","Beta-Lactamase,PAS domain",,,,,,,,,,,,,Q99814,EPAS1_HUMAN,0.13,30118,,18.82,-1.0,,,,1
6q8l,,,,,,,,,,,,,,,,,,,,,,,,,,,34337,,6.05,-1.0,,,,1
2oyw,,,,,,,,,,,,,,,,,,,,,,,,P30990,NEUT_HUMAN,0.09,,,91.1,-1.0,,,,1
1cyl,PF00727,IL4,4H_Cytokine,Interleukin 4,"IPR001325,IPR002354,IPR009079","Interleukin-4/interleukin-13,Interleukin-4,Four-helical cytokine-like\, core",1.20.1250.10,Mainly Alpha,Up-down Bundle,Growth Hormone; Chain: A;,Growth Hormone; Chain: A;,,,,,"GO:0042976,GO:0050728,GO:1901857,GO:0042113,GO:0043011,GO:0010633,GO:0042102,GO:0120162,GO:2000352,GO:0030335,GO:0032736,GO:0042325,GO:2001171,GO:0042116,GO:0045892,GO:0042531,GO:2001181,GO:0008284,GO:0016239,GO:0030890,GO:0048295,GO:0097028,GO:0045944,GO:1903660,GO:0045189,GO:0150076,GO:0043066,GO:0008203,GO:0045582,GO:0019221,GO:0045191,GO:0050776,GO:0030183,GO:0045348,GO:0048260,GO:1900223,GO:0035745,GO:0045893,GO:0010628,GO:0045671,GO:0042110,GO:0042536,GO:0042092,GO:0048304,GO:0150079,GO:0006955,GO:0005515,GO:0005125,GO:0005126,GO:0005136,GO:0008083,GO:0005615,GO:0005576","activation of Janus kinase activity,negative regulation of inflammatory response,positive regulation of cellular respiration,B cell activation,myeloid dendritic cell differentiation,negative regulation of epithelial cell migration,positive regulation of T cell proliferation,positive regulation of cold-induced thermogenesis,negative regulation of endothelial cell apoptotic process,positive regulation of cell migration,positive regulation of interleukin-13 production,regulation of phosphorylation,positive regulation of ATP biosynthetic process,macrophage activation,negative regulation of transcription\, DNA-templated,positive regulation of tyrosine phosphorylation of STAT protein,positive regulation of interleukin-10 secretion,positive regulation of cell population proliferation,positive regulation of macroautophagy,positive regulation of B cell proliferation,positive regulation of isotype switching to IgE isotypes,dendritic cell differentiation,positive regulation of transcription by RNA polymerase II,negative regulation of complement-dependent cytotoxicity,connective tissue growth factor biosynthetic process,neuroinflammatory response,negative regulation of apoptotic process,cholesterol metabolic process,positive regulation of T cell differentiation,cytokine-mediated signaling pathway,regulation of isotype switching,regulation of immune response,B cell differentiation,positive regulation of MHC class II biosynthetic process,positive regulation of receptor-mediated endocytosis,positive regulation of amyloid-beta clearance,T-helper 2 cell cytokine production,positive regulation of transcription\, DNA-templated,positive regulation of gene expression,negative regulation of osteoclast differentiation,T cell activation,negative regulation of tumor necrosis factor biosynthetic process,type 2 immune response,positive regulation of isotype switching to IgG isotypes,negative regulation of neuroinflammatory response,immune response","protein binding,cytokine activity,cytokine receptor binding,interleukin-4 receptor binding,growth factor activity","extracellular space,extracellular region",All alpha proteins,4-helical cytokines,4-helical cytokines,Short-chain cytokines,"P05112,P05112-2","IL4_HUMAN,IL4_HUMAN",1.0,,,1.43,-1.0,,,,1
2n0d,,,,,IPR000874,Bombesin/neuromedin-B/ranatensin peptide family,,,,,,,,,,GO:0007218,neuropeptide signaling pathway,,,,,,,"P07492,P07492-3,P07492-2","GRP_HUMAN,GRP_HUMAN,GRP_HUMAN",0.08,25521,,0.3,-1.0,,,,1
2l8s,,,,,,,,,,,,,,,,,,,,,,,,P56199,ITA1_HUMAN,0.04,17424,,10.52,-1.0,,,,1
2m3d,,,,,"IPR012562,IPR035979","GUCT,RNA-binding domain superfamily",3.30.70.2280,Alpha Beta,2-Layer Sandwich,Alpha-Beta Plaits,Alpha-Beta Plaits,3.6.4.13,RNA helicase,ATP phosphohydrolase (RNA helix unwinding),"Hydrolases,Acting on acid anhydrides,Acting on ATP; involved in cellular and subcellular movement,RNA helicase","GO:0005524,GO:0003723,GO:0004386,GO:0003676,GO:0005634",,"ATP binding,RNA binding,helicase activity,nucleic acid binding",nucleus,,,,,"Q9NR30,Q9NR30-2","DDX21_HUMAN,DDX21_HUMAN",0.12,18954,,13.35,-1.0,,,,1
1ffm,PF00008,EGF,EGF,EGF-like domain,"IPR033190,IPR000742,IPR001881","Coagulation factor VII,EGF-like domain,EGF-like calcium-binding domain",2.10.25.10,Mainly Beta,Ribbon,Laminin,Laminin,3.4.21.21,Coagulation factor VIIa,,"Hydrolases,Acting on peptide bonds (peptidases),Serine endopeptidases,Coagulation factor VIIa","GO:0007596,GO:0005509,GO:0004252",blood coagulation,"calcium ion binding,serine-type endopeptidase activity",,Small proteins,"Knottins (small inhibitors\, toxins\, lectins)",EGF/Laminin,EGF-type module,"P08709,P08709-2","FA7_HUMAN,FA7_HUMAN",0.1,,,18.75,-1.0,,,,1
2d9y,PF00169,PH,PH,PH domain,"IPR001849,IPR011993,IPR040392","Pleckstrin homology domain,PH-like domain superfamily,PKHA4/5/6/7\, PH domain",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,,,,,,,,,Q9Y2H5,PKHA6_HUMAN,0.1,,,17.47,-1.0,,,,1
2g31,,,,,,,1.20.5.2480,,,,,,,,,,,,,,,,,"Q9NQC3,Q9NQC3-2,Q9NQC3-4,Q9NQC3-6,Q9NQC3-3,Q9NQC3-5","RTN4_HUMAN,RTN4_HUMAN,RTN4_HUMAN,RTN4_HUMAN,RTN4_HUMAN,RTN4_HUMAN",0.05,,,1.35,-1.0,,,,1
2h60,PF00439,Bromodomain,,Bromodomain,"IPR001487,IPR030100,IPR036427","Bromodomain,SWI/SNF complex subunit BRG1,Bromodomain-like superfamily",1.20.920.10,Mainly Alpha,Up-down Bundle,Histone Acetyltransferase; Chain A,Bromodomain-like,,,,,"GO:0043044,GO:0016887,GO:0016514",ATP-dependent chromatin remodeling,ATPase activity,SWI/SNF complex,,,,,"P51532,P51532-3,P51532-4,P51532-5,P51532-2","SMCA4_HUMAN,SMCA4_HUMAN,SMCA4_HUMAN,SMCA4_HUMAN,SMCA4_HUMAN",0.07,,,4.7,-1.0,,,,1
1e1w,,,,,"IPR022416,IPR000817,IPR036924","Prion/Doppel protein\, beta-ribbon domain,Prion protein,Prion/Doppel beta-ribbon domain superfamily",1.10.790.10,Mainly Alpha,Orthogonal Bundle,Major Prion Protein,"Prion/Doppel protein\, beta-ribbon domain",,,,,"GO:0051260,GO:0016020",protein homooligomerization,,membrane,Alpha and beta proteins (a+b),Prion-like,Prion-like,Prion-like,P04156,PRIO_HUMAN,0.45,,,9.55,-1.0,,,,1
2n99,,,,,IPR016054,Ly-6 antigen/uPA receptor-like,2.10.60.10,Mainly Beta,Ribbon,CD59,CD59,,,,,,,,,,,,,"P0DP58,P0DP58-2","LYNX1_HUMAN,LYNX1_HUMAN",0.71,25887,,8.23,-1.0,,,,1
2mqs,PF00045,Hemopexin,,Hemopexin,"IPR000585,IPR018487,IPR036375","Hemopexin-like domain,Hemopexin-like repeats,Hemopexin-like domain superfamily",2.110.10.10,Mainly Beta,4 Propeller,Hemopexin,Hemopexin-like domain,3.4.24.80,Membrane-type matrix metalloproteinase-1,-,"Hydrolases,Acting on peptide bonds (peptidases),Metalloendopeptidases,Membrane-type matrix metalloproteinase-1",,,,,,,,,P50281,MMP14_HUMAN,0.35,25048,,40.85,-1.0,,,,1
1bla,PF00167,FGF,Trefoil,Fibroblast growth factor,"IPR002209,IPR028223,IPR008996","Fibroblast growth factor family,Fibroblast growth factor 2,Cytokine IL1/FGF",2.80.10.50,Mainly Beta,Trefoil,"Trefoil (Acidic Fibroblast Growth Factor\, subunit A)","Trefoil (Acidic Fibroblast Growth Factor\, subunit A)",,,,,"GO:0008543,GO:0005104,GO:0008083,GO:0005576",fibroblast growth factor receptor signaling pathway,"fibroblast growth factor receptor binding,growth factor activity",extracellular region,All beta proteins,beta-Trefoil,Cytokine,Fibroblast growth factors (FGF),"P09038,P09038-3,P09038-2,P09038-1","FGF2_HUMAN,FGF2_HUMAN,FGF2_HUMAN,FGF2_HUMAN",0.54,,,10.1,-1.0,,,,1
1x40,PF00536,SAM_1,SAM,SAM domain (Sterile alpha motif),"IPR001660,IPR013761","Sterile alpha motif domain,Sterile alpha motif/pointed domain superfamily",1.10.150.50,Mainly Alpha,Orthogonal Bundle,DNA polymerase; domain 1,"Transcription Factor\, Ets-1",,,,,,,,,All alpha proteins,SAM domain-like,SAM/Pointed domain,SAM (sterile alpha motif) domain,Q8WZ64,ARAP2_HUMAN,0.05,,,10.25,-1.0,,,,1
2ndg,PF03366,YEATS,C2,YEATS family,"IPR005033,IPR038704","YEATS,YEATS superfamily","2.60.40.1970,2.60.40.1970","Mainly Beta,Mainly Beta","Sandwich,Sandwich","Immunoglobulin-like,Immunoglobulin-like","Immunoglobulin-like,YEATS domain",,,,,GO:0006355,"regulation of transcription\, DNA-templated",,,,,,,"P42568,P42568-2","AF9_HUMAN,AF9_HUMAN",0.24,26060,,10.02,-1.0,,,,1
2dil,PF14604,SH3_9,SH3,Variant SH3 domain,"IPR001452,IPR036028,IPR030777","SH3 domain,SH3-like domain superfamily,PSTPIP1\, SH3 domain",2.30.30.40,Mainly Beta,Roll,SH3 type barrels.,SH3 Domains,,,,,,,,,,,,,"O43586,O43586-2","PPIP1_HUMAN,PPIP1_HUMAN",0.13,,,40.53,-1.0,,,,1
2hzd,PF01285,TEA,HTH,TEA/ATTS domain,"IPR038096,IPR000818","TEA/ATTS domain superfamily,TEA/ATTS domain","1.10.10.1610,6.10.20.40",Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A","Arc Repressor Mutant\, subunit A",,,,,"GO:0006355,GO:0003700","regulation of transcription\, DNA-templated",DNA-binding transcription factor activity,,,,,,"P28347,P28347-2","TEAD1_HUMAN,TEAD1_HUMAN",0.18,,,0.3,-1.0,,,,1
